hj hj_NOUN_Fem_Sing
teve ter_VERB_Fin_Sing
almoço almoço_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
madalosso madalosso_NOUN_Masc_Sing
para para_ADP
receber receber_VERB_Inf
o o_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
. .
. .
. .
. .
. .
. .
. .
se se_SCONJ
vc vc_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
me eu_PRON_Sing
exclui excluir_VERB_Fin_Sing
pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
deus deus_NOUN_Masc_Sing
. .
. .
. .
. .
. .
. .
. .
O o_PRON_Masc_Sing
alexandre alexandre_VERB_Fin_Sing
frota frota_NOUN_Fem_Sing
estava estar_AUX_Fin_Sing
la la_PROPN_Sing
apoiando apoiar_VERB_Ger
o o_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
e e_CCONJ
vc vc_NOUN_Masc_Sing
pagando pagar_VERB_Ger
pau pau_NOUN_Masc_Sing
pra pra_ADP
ele ele_PRON_Masc_Sing
. .
. .
. .
. .
vai ir_AUX_Fin_Sing
se se_PRON
fode fode_VERB_Fin_Sing
seus seu_DET_Masc_Plur
burro burro_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
caraio caraio_NOUN_Masc_Sing
