@CarlosBolsonaro twitterhandle_NOUN_Masc_Sing
police_car_light_e police_car_light_e
TIC tic_PROPN_Sing
TAC tac_PROPN_Sing
: :
Em em_ADP
algumas algum_DET_Fem_Plur
semanas semana_NOUN_Fem_Plur
, ,
a o_DET_Fem_Sing
PF pf_PROPN_Fem_Sing
vai ir_AUX_Fin_Sing
concluir concluir_VERB_Inf
um um_DET_Masc_Sing
inquérito inquérito_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
pode poder_AUX_Fin_Sing
levar levar_VERB_Inf
o o_DET_Masc_Sing
ex-presidente ex-presidente
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
( (
PL pl_PROPN_Masc_Sing
) )
a a_ADP
ser ser_AUX_Inf
condenado condenar_VERB_Part_Masc_Sing
a a_ADP
até até_ADV
12 12_NUM
anos ano_NOUN_Masc_Plur
de de_ADP
prisão prisão_NOUN_Fem_Sing
. .
rolled-up_newspaper_e rolled-up_newspaper_e
Revista revista_NOUN_Fem_Sing
Fórum fórum_NOUN_Masc_Sing
Mas mas_CCONJ
que que_SCONJ
karma karma_NOUN_Masc_Sing
hein hein_ADJ_Masc_Sing
kkkkkkk kkkkkkk_NOUN_Masc_Sing
