Externadas externadas_VERB_Part_Fem_Plur
na em_o_ADP_DET_Fem_Sing
entrevista entrevista_NOUN_Fem_Sing
à a_o_ADP_DET_Fem_Sing
Record record_PROPN_Fem_Sing
, ,
as o_DET_Fem_Plur
propostas proposta_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
eleito eleger_VERB_Part_Masc_Sing
, ,
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
a a_ADP
respeito respeito_NOUN
da de_o_ADP_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
e e_CCONJ
porte porte_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
só só_ADV
vão ir_AUX_Fin_Plur
piorar piorar_VERB_Inf
um um_DET_Masc_Sing
problema problema_NOUN_Masc_Sing
de de_ADP
segurança segurança_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
que que_PRON_Rel_Fem_Sing
já já_ADV
é ser_AUX_Fin_Sing
grave grave_ADJ_Masc_Sing
. .
Solução solução_NOUN_Fem_Sing
não não_ADV
é ser_AUX_Fin_Sing
armar armar_VERB_Inf
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
. .
Isso isso_PRON_Masc_Sing
incentivará incentivar_VERB_Fin_Sing
selvageria selvageria_NOUN_Fem_Sing
. .
