@dw_brasil twitterhandle_NOUN_Masc_Sing
O o_DET_Masc_Sing
Hitler hitler_PROPN_Masc_Sing
de de_ADP
esquerda esquerda_NOUN_Fem_Sing
? ?
Manda mandar_VERB_Fin_Sing
esse esse_DET_Masc_Sing
paquiderme paquiderme_ADJ_Masc_Sing
estudar estudar_VERB_Inf
um um_DET_Masc_Sing
pouco pouco_NOUN_Masc_Sing
antes antes_ADV
falar falar_VERB_Inf
asneira asneiro_NOUN_Fem_Sing
. .
O o_DET_Masc_Sing
nazismo nazismo_NOUN_Masc_Sing
de de_ADP
Hitler hitler_PROPN_Masc_Sing
mais mais_ADV
direira direira_VERB_Fin_Sing
impossível impossível_ADJ_Masc_Sing
e e_CCONJ
odiava odiar_VERB_Fin_Sing
assim assim_ADV
como como_ADP
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
os o_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
. .
Como como_ADV
pode poder_AUX_Fin_Sing
pessoas pessoa_NOUN_Fem_Plur
com com_ADP
cargos cargo_NOUN_Masc_Plur
importantes importante_ADJ_Masc_Plur
no em_o_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
serem ser_AUX_Inf_Plur
tão tão_ADV
estreitos estreito_ADJ_Masc_Plur
de de_ADP
inteligência inteligência_NOUN_Fem_Sing
. .
. .
. .
